,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cfile,cbuffer_compress_percentage,cbuffer_compress_chunk,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc,diskutil-TOTAL_READS(KB),diskutil-TOTAL_WRITES(KB),diskutil-TOTAL_READS(MB),diskutil-TOTAL_WRITES(MB),diskutil-TOTAL_READS(GB),diskutil-TOTAL_WRITES(GB),diskutil-rMB/s,diskutil-wMB/s,diskutil-AVGRQ-SZ,diskutil-AVGQU-SZ,diskutil-DEV_UTIL
17,64K,sync,1,randread,32,zram-lzo,1,none,none,50,256,12467249044,11.6 GB,0,0.0 B,167026.232321,167.0 µs,0.0,0.0 ns,0.708784,0.701081,0.0363514,98.5545,1.44554,33554432.0,33560244.0,32768.0,32773.0,32.0,32.0,422.284,431.234,3.36842,1.49882,44.482
18,64K,sync,1,randread,32,zram-zstd,1,none,none,50,256,13024919775,12.1 GB,0,0.0 B,159222.557762,159.2 µs,0.0,0.0 ns,0.24583,0.481489,0.0240426,99.2476,0.752426,33554432.0,33560876.0,32768.0,32774.0,32.0,32.0,122.059,138.276,1.08017,1.11143,82.0551
19,64K,sync,1,randread,32,zram-lz4,1,none,none,50,256,13054611841,12.2 GB,0,0.0 B,159405.797604,159.4 µs,0.0,0.0 ns,0.732917,0.659028,0.0361111,98.5715,1.42847,33554432.0,33560244.0,32768.0,32773.0,32.0,32.0,408.458,442.889,3.45946,1.40743,43.865
20,64K,sync,1,randread,4,ssd-raid,1,none,none,50,256,2582468122,2.4 GB,0,0.0 B,100139.193907,100.1 µs,0.0,0.0 ns,1.08827,0.384231,0.338846,98.1896,1.81038,33554496.0,33558872.0,32768.0,32772.0,32.0,32.0,584.298,606.908,15.8393,1.635,42.0409
21,64K,sync,1,randread,4,zram-lzo,1,none,none,50,256,7986921982,7.4 GB,0,0.0 B,31371.869648,31.4 µs,0.0,0.0 ns,0.698919,0.463108,0.0298649,98.8065,1.19351,33554432.0,33559076.0,32768.0,32772.0,32.0,32.0,421.804,431.109,5.0525,0.571053,44.6695
22,64K,sync,1,randread,4,zram-zstd,1,none,none,50,256,9099506983,8.5 GB,0,0.0 B,27255.66008,27.3 µs,0.0,0.0 ns,0.236589,0.46743,0.15215,99.1429,0.857056,33554432.0,33559552.0,32768.0,32773.0,32.0,32.0,151.005,151.021,1.47461,0.944516,81.9041
23,64K,sync,1,randread,4,zram-lz4,1,none,none,50,256,9953574266,9.3 GB,0,0.0 B,24775.955414,24.8 µs,0.0,0.0 ns,0.746714,0.474,0.034,98.7451,1.25486,33554432.0,33558792.0,32768.0,32772.0,32.0,32.0,450.951,455.171,4.44431,0.565694,44.5418
24,64K,sync,1,randread,64,ssd-raid,1,none,none,50,256,19918688908,18.6 GB,0,0.0 B,204795.259731,204.8 µs,0.0,0.0 ns,1.23634,0.464634,0.0392683,98.2607,1.73927,33554500.0,33561504.0,32768.0,32774.0,32.0,32.0,442.758,762.043,3.24116,2.35558,27.4177
25,64K,sync,1,randread,64,zram-lzo,1,none,none,50,256,12341860045,11.5 GB,0,0.0 B,338329.147488,338.3 µs,0.0,0.0 ns,0.727703,0.925811,0.0413514,98.3074,1.69257,33554432.0,33561880.0,32768.0,32775.0,32.0,32.0,385.887,431.255,3.36842,2.46132,43.4545
26,64K,sync,1,randread,64,zram-zstd,1,none,none,50,256,13810184231,12.9 GB,0,0.0 B,302261.985312,302.3 µs,0.0,0.0 ns,0.218051,0.571568,0.0167797,99.1928,0.807246,33554432.0,33562048.0,32768.0,32775.0,32.0,32.0,137.681,137.699,1.07563,1.46122,82.0264
27,64K,sync,1,randread,64,zram-lz4,1,none,none,50,256,12431164387,11.6 GB,0,0.0 B,335919.487459,335.9 µs,0.0,0.0 ns,0.699054,0.982838,0.0343243,98.2843,1.71568,33554432.0,33561996.0,32768.0,32775.0,32.0,32.0,416.585,431.257,3.36842,2.60539,43.5279
28,64K,sync,1,randread,8,ssd-raid,1,none,none,50,256,4945982203,4.6 GB,0,0.0 B,104534.338638,104.5 µs,0.0,0.0 ns,1.20609,0.435217,0.34087,98.0189,1.98109,33554500.0,33558832.0,32768.0,32772.0,32.0,32.0,616.483,682.772,10.1529,1.75729,36.4523
29,64K,sync,1,randread,8,zram-lzo,1,none,none,50,256,9576292744,8.9 GB,0,0.0 B,53411.383291,53.4 µs,0.0,0.0 ns,0.692,0.5068,0.0204,98.78,1.22,33554432.0,33559088.0,32768.0,32772.0,32.0,32.0,404.504,425.58,4.15584,0.713377,44.5927
30,64K,sync,1,randread,8,zram-zstd,1,none,none,50,256,10798157878,10.1 GB,0,0.0 B,47135.70298,47.1 µs,0.0,0.0 ns,0.235424,0.437076,0.0304237,99.2953,0.704746,33554432.0,33559860.0,32768.0,32773.0,32.0,32.0,137.681,137.691,1.34454,0.90105,82.1772
31,64K,sync,1,randread,8,zram-lz4,1,none,none,50,256,10654182439,9.9 GB,0,0.0 B,48325.123966,48.3 µs,0.0,0.0 ns,0.804865,0.499324,0.0255405,98.6703,1.32973,33554432.0,33558824.0,32768.0,32772.0,32.0,32.0,431.158,431.216,4.21053,0.693158,43.9712
32,64K,sync,1,randwrite,1,ssd-raid,1,none,none,50,256,0,0.0 B,1239305261,1.2 GB,0.0,0.0 ns,47562.104969,47.6 µs,1.85259,0.138519,0.177037,97.8304,2.16963,68.0,33580848.0,0.0,32793.0,0.0,32.0,0.186552,1102.06,0.389655,0.531724,47.9314
33,64K,sync,1,randwrite,1,zram-lzo,1,none,none,50,256,0,0.0 B,855933496,816.3 MB,0.0,0.0 ns,71196.50625,71.2 µs,1.37275,0.40825,0.05675,98.1625,1.8375,0.0,33596504.0,0.0,32809.0,0.0,32.0,0.000238095,777.886,1.52357,0.697381,69.6286
34,64K,sync,1,randwrite,1,zram-zstd,1,none,none,50,256,0,0.0 B,168245350,160.5 MB,0.0,0.0 ns,384072.614216,384.1 µs,0.267255,0.410539,0.0288235,99.2924,0.707598,0.0,33734396.0,0.0,32943.0,0.0,32.0,4.85437e-05,159.804,0.310631,0.940243,93.6678
35,64K,sync,1,randwrite,1,zram-lz4,1,none,none,50,256,0,0.0 B,869206637,828.9 MB,0.0,0.0 ns,70066.438341,70.1 µs,1.29667,0.405897,0.0492308,98.2482,1.75179,0.0,33594620.0,0.0,32807.0,0.0,32.0,0.000243902,789.954,1.56073,0.707317,70.6829
36,64K,sync,1,randwrite,16,ssd-raid,1,none,none,50,256,0,0.0 B,10568975197,9.8 GB,0.0,0.0 ns,91330.404238,91.3 µs,17.2533,0.97,2.93,78.8467,21.1533,68.0,33554432.0,0.0,32768.0,0.0,32.0,1.09,6236.9,2.272,7.112,60.962
37,64K,sync,1,randwrite,16,zram-lzo,1,none,none,50,256,0,0.0 B,2830058345,2.6 GB,0.0,0.0 ns,364208.327532,364.2 µs,4.7425,5.89333,0.0175,89.3458,10.6542,0.0,33569072.0,0.0,32782.0,0.0,32.0,0.00357143,2311.02,4.57143,12.9207,2179.19
38,64K,sync,1,randwrite,16,zram-zstd,1,none,none,50,256,0,0.0 B,2155972790,2.0 GB,0.0,0.0 ns,478805.190443,478.8 µs,3.45188,6.07625,0.044375,90.4275,9.5725,0.0,33574652.0,0.0,32787.0,0.0,32.0,0.00277778,1820.44,3.55556,13.4444,88.4811
39,64K,sync,1,randwrite,16,zram-lz4,1,none,none,50,256,0,0.0 B,2776544514,2.6 GB,0.0,0.0 ns,371806.456623,371.8 µs,4.61583,5.89167,0.0808333,89.415,10.585,0.0,33568856.0,0.0,32782.0,0.0,32.0,0.00357143,2272.79,4.57143,12.9421,182.419
40,64K,sync,1,randwrite,2,ssd-raid,1,none,none,50,256,0,0.0 B,2485153939,2.3 GB,0.0,0.0 ns,47396.684431,47.4 µs,3.94786,0.270714,0.310714,95.47,4.53,68.0,33568388.0,0.0,32781.0,0.0,32.0,0.33875,2048.89,0.7075,0.99,74.8194
41,64K,sync,1,randwrite,2,zram-lzo,1,none,none,50,256,0,0.0 B,1368750283,1.3 GB,0.0,0.0 ns,90375.204206,90.4 µs,2.094,0.8048,0.0312,97.0712,2.9288,0.0,33581932.0,0.0,32794.0,0.0,32.0,0.000740741,1210.7,2.37,1.45852,86.6259
42,64K,sync,1,randwrite,2,zram-zstd,1,none,none,50,256,0,0.0 B,324172941,309.2 MB,0.0,0.0 ns,398624.955538,398.6 µs,0.500094,0.795,0.0415094,98.6643,1.33566,0.0,33655112.0,0.0,32866.0,0.0,32.0,0.000185185,304.29,0.5925,1.86278,97.8586
43,64K,sync,1,randwrite,2,zram-lz4,1,none,none,50,256,0,0.0 B,1397191703,1.3 GB,0.0,0.0 ns,88397.047567,88.4 µs,2.21417,0.79375,0.0341667,96.9567,3.04333,0.0,33581960.0,0.0,32794.0,0.0,32.0,0.000769231,1231.0,2.46115,1.45269,85.3846
44,64K,sync,1,randwrite,256,ssd-raid,1,none,none,50,256,0,0.0 B,11163007916,10.4 GB,0.0,0.0 ns,1468925.463015,1.5 ms,17.25,0.153333,42.9467,39.65,60.35,0.0,33554432.0,0.0,32768.0,0.0,32.0,1.082,5947.55,1.478,142.352,55.844
45,64K,sync,1,randwrite,256,zram-lzo,1,none,none,50,256,0,0.0 B,2713825003,2.5 GB,0.0,0.0 ns,6049751.514904,6.0 ms,4.04769,89.0438,0.223077,6.68692,93.3131,0.0,33569536.0,0.0,32782.0,0.0,32.0,0.006,2177.38,4.26667,207.753,84.4393
46,64K,sync,1,randwrite,256,zram-zstd,1,none,none,50,256,0,0.0 B,2713610675,2.5 GB,0.0,0.0 ns,6044256.476917,6.0 ms,4.47083,87.2908,0.253333,7.985,92.015,0.0,33569704.0,0.0,32782.0,0.0,32.0,0.00642857,2180.1,4.57143,207.747,84.3193
47,64K,sync,1,randwrite,256,zram-lz4,1,none,none,50,256,0,0.0 B,2698903335,2.5 GB,0.0,0.0 ns,6137671.655603,6.1 ms,4.24308,89.5623,0.168462,6.02692,93.9731,0.0,33566860.0,0.0,32780.0,0.0,32.0,0.006,2178.53,4.26667,210.833,84.6213
48,64K,sync,1,randwrite,32,ssd-raid,1,none,none,50,256,0,0.0 B,10876776944,10.1 GB,0.0,0.0 ns,182343.501268,182.3 µs,16.49,1.01333,7.12333,75.3733,24.6267,60.0,33554432.0,0.0,32768.0,0.0,32.0,1.09,6330.56,2.274,16.68,60.942
49,64K,sync,1,randwrite,32,zram-lzo,1,none,none,50,256,0,0.0 B,3008733657,2.8 GB,0.0,0.0 ns,689733.922216,689.7 µs,4.78364,11.5073,0.0581818,83.6491,16.3509,0.0,33569668.0,0.0,32782.0,0.0,32.0,0.00461538,2433.16,4.92308,26.2,2491.84
50,64K,sync,1,randwrite,32,zram-zstd,1,none,none,50,256,0,0.0 B,2832624762,2.6 GB,0.0,0.0 ns,722510.084354,722.5 µs,4.0125,11.7233,0.0408333,84.2233,15.7767,0.0,33569096.0,0.0,32782.0,0.0,32.0,0.00428571,2340.2,4.57143,26.4379,723.668
51,64K,sync,1,randwrite,32,zram-lz4,1,none,none,50,256,0,0.0 B,3074421829,2.9 GB,0.0,0.0 ns,674963.677816,675.0 µs,4.33,11.5973,0.0290909,84.0436,15.9564,0.0,33566944.0,0.0,32780.0,0.0,32.0,0.00461538,2497.63,4.92308,26.3838,219.124
52,64K,sync,1,randwrite,4,ssd-raid,1,none,none,50,256,0,0.0 B,4825805950,4.5 GB,0.0,0.0 ns,48351.491867,48.4 µs,8.01714,0.505714,0.591429,90.8857,9.11429,68.0,33563948.0,0.0,32777.0,0.0,32.0,0.603333,3614.21,1.25889,1.77333,78.6567
53,64K,sync,1,randwrite,4,zram-lzo,1,none,none,50,256,0,0.0 B,2075615462,1.9 GB,0.0,0.0 ns,120579.347223,120.6 µs,3.145,1.68937,0.045625,95.1213,4.87875,0.0,33573300.0,0.0,32786.0,0.0,32.0,0.00166667,1755.61,3.55556,2.995,1589.88
54,64K,sync,1,randwrite,4,zram-zstd,1,none,none,50,256,0,0.0 B,635127051,605.7 MB,0.0,0.0 ns,406351.534008,406.4 µs,0.977963,1.55722,0.0516667,97.4139,2.58611,0.0,33611884.0,0.0,32824.0,0.0,32.0,0.000535714,586.086,1.14286,3.65893,269.504
55,64K,sync,1,randwrite,4,zram-lz4,1,none,none,50,256,0,0.0 B,2093319018,1.9 GB,0.0,0.0 ns,119252.878613,119.3 µs,3.46375,1.6775,0.0375,94.8188,5.18125,0.0,33574264.0,0.0,32787.0,0.0,32.0,0.00166667,1770.81,3.55556,2.98278,523.996
56,64K,sync,1,randwrite,64,ssd-raid,1,none,none,50,256,0,0.0 B,10991598966,10.2 GB,0.0,0.0 ns,369803.917149,369.8 µs,16.2433,1.57,15.3533,66.8333,33.1667,68.0,33554432.0,0.0,32768.0,0.0,32.0,1.094,6366.86,2.276,32.958,60.722
57,64K,sync,1,randwrite,64,zram-lzo,1,none,none,50,256,0,0.0 B,3026223213,2.8 GB,0.0,0.0 ns,1373203.13813,1.4 ms,4.75091,22.8282,0.0572727,72.3645,27.6355,0.0,33569436.0,0.0,32782.0,0.0,32.0,0.00538462,2436.77,4.92308,52.9646,2405.92
58,64K,sync,1,randwrite,64,zram-zstd,1,none,none,50,256,0,0.0 B,2937985324,2.7 GB,0.0,0.0 ns,1396092.039555,1.4 ms,4.75182,22.8773,0.0772727,72.2909,27.7091,0.0,33569616.0,0.0,32782.0,0.0,32.0,0.00538462,2391.23,4.92308,53.0231,784.305
59,64K,sync,1,randwrite,64,zram-lz4,1,none,none,50,256,0,0.0 B,3119925394,2.9 GB,0.0,0.0 ns,1333747.854336,1.3 ms,4.77273,22.9036,0.0772727,72.2445,27.7555,0.0,33567064.0,0.0,32780.0,0.0,32.0,0.00538462,2519.53,4.92308,52.9915,169.102
60,64K,sync,1,randwrite,8,ssd-raid,1,none,none,50,256,0,0.0 B,8851040280,8.2 GB,0.0,0.0 ns,53362.560699,53.4 µs,16.8533,0.793333,1.01667,81.3367,18.6633,64.0,33554432.0,0.0,32768.0,0.0,32.0,0.905,5461.45,1.89,3.005,66.8517
61,64K,sync,1,randwrite,8,zram-lzo,1,none,none,50,256,0,0.0 B,2486592731,2.3 GB,0.0,0.0 ns,200927.814089,200.9 µs,3.63,3.10571,0.0228571,93.2407,6.75929,0.0,33567696.0,0.0,32780.0,0.0,32.0,0.0025,2048.81,4.0,6.09,1963.73
62,64K,sync,1,randwrite,8,zram-zstd,1,none,none,50,256,0,0.0 B,1227966776,1.1 GB,0.0,0.0 ns,420164.126751,420.2 µs,1.94926,3.05519,0.0196296,94.9756,5.02444,0.0,33578920.0,0.0,32791.0,0.0,32.0,0.00133333,1093.07,2.13333,7.06367,388.401
63,64K,sync,1,randwrite,8,zram-lz4,1,none,none,50,256,0,0.0 B,2609138003,2.4 GB,0.0,0.0 ns,195258.943111,195.3 µs,4.44,3.07308,0.0284615,92.4577,7.54231,0.0,33567112.0,0.0,32780.0,0.0,32.0,0.00266667,2155.45,4.26667,6.21,415.894
64,64K,sync,1,read,1,ssd-raid,1,none,none,50,256,1648739844,1.5 GB,0,0.0 B,39448.575256,39.4 µs,0.0,0.0 ns,0.961053,0.467544,0.13,98.4416,1.55842,33554500.0,33561968.0,32768.0,32775.0,32.0,32.0,546.934,555.269,22.971,1.00983,43.5217
65,64K,sync,1,read,1,zram-lzo,1,none,none,50,256,2372091016,2.2 GB,0,0.0 B,27427.76202,27.4 µs,0.0,0.0 ns,0.902381,0.615714,0.0185714,98.4629,1.53714,33554436.0,33556764.0,32768.0,32770.0,32.0,32.0,498.786,504.158,14.9952,0.682769,57.0292
66,64K,sync,1,read,1,zram-zstd,1,none,none,50,256,2723289083,2.5 GB,0,0.0 B,23858.120512,23.9 µs,0.0,0.0 ns,0.383836,0.683774,0.118302,98.8142,1.18579,33554436.0,33557092.0,32768.0,32770.0,32.0,32.0,194.317,203.526,5.25894,1.28224,84.4976
67,64K,sync,1,read,1,zram-lz4,1,none,none,50,256,3448388033,3.2 GB,0,0.0 B,18809.778982,18.8 µs,0.0,0.0 ns,1.02138,0.612414,0.0360345,98.331,1.66897,33554436.0,33556764.0,32768.0,32770.0,32.0,32.0,536.619,546.172,10.9115,0.64,53.2783
68,64K,sync,1,read,16,ssd-raid,1,none,none,50,256,9133370113,8.5 GB,0,0.0 B,113387.509964,113.4 µs,0.0,0.0 ns,1.22558,0.453953,0.392791,97.9277,2.07233,33554500.0,33559264.0,32768.0,32772.0,32.0,32.0,728.297,727.849,7.27422,2.12533,30.3536
69,64K,sync,1,read,16,zram-lzo,1,none,none,50,256,12917194875,12.0 GB,0,0.0 B,80259.654488,80.3 µs,0.0,0.0 ns,0.776986,0.513973,0.049589,98.6589,1.3411,33554432.0,33559544.0,32768.0,32772.0,32.0,32.0,352.597,436.974,3.41333,0.825067,43.9203
70,64K,sync,1,read,16,zram-zstd,1,none,none,50,256,13240746962,12.3 GB,0,0.0 B,78644.637033,78.6 µs,0.0,0.0 ns,0.252,0.441745,0.0218298,99.2835,0.716511,33554432.0,33560084.0,32768.0,32773.0,32.0,32.0,115.757,138.273,1.08017,0.945738,82.078
71,64K,sync,1,read,16,zram-lz4,1,none,none,50,256,12526335533,11.7 GB,0,0.0 B,83351.280113,83.4 µs,0.0,0.0 ns,0.698904,0.575342,0.0350685,98.6903,1.30973,33554432.0,33559576.0,32768.0,32773.0,32.0,32.0,436.907,436.975,3.41333,0.9432,43.4988
72,64K,sync,1,read,2,ssd-raid,1,none,none,50,256,1787893556,1.7 GB,0,0.0 B,63781.56999,63.8 µs,0.0,0.0 ns,0.882034,0.373729,0.199492,98.5437,1.45627,33554500.0,33558880.0,32768.0,32772.0,32.0,32.0,535.178,537.263,21.2344,1.13934,41.9641
73,64K,sync,1,read,2,zram-lzo,1,none,none,50,256,4430084884,4.1 GB,0,0.0 B,28759.35792,28.8 µs,0.0,0.0 ns,0.719437,0.499859,0.0428169,98.7375,1.26254,33554432.0,33558968.0,32768.0,32772.0,32.0,32.0,415.082,448.938,7.89027,0.576712,47.1562
74,64K,sync,1,read,2,zram-zstd,1,none,none,50,256,5180901442,4.8 GB,0,0.0 B,24742.882908,24.7 µs,0.0,0.0 ns,0.311294,0.594882,0.121294,98.9714,1.02859,33554432.0,33559272.0,32768.0,32772.0,32.0,32.0,189.814,190.53,2.97669,1.20192,80.744
75,64K,sync,1,read,2,zram-lz4,1,none,none,50,256,6325430480,5.9 GB,0,0.0 B,20085.660152,20.1 µs,0.0,0.0 ns,0.799286,0.483857,0.0644286,98.6521,1.34786,33554432.0,33558972.0,32768.0,32772.0,32.0,32.0,455.111,455.173,6.22208,0.531944,45.3708
76,64K,sync,1,read,256,ssd-raid,1,none,none,50,256,22800091816,21.2 GB,0,0.0 B,723157.988605,723.2 µs,0.0,0.0 ns,1.17477,0.469545,0.212273,98.1418,1.85818,33554440.0,33569688.0,32768.0,32782.0,32.0,32.0,606.431,712.632,3.11696,7.68283,29.9459
77,64K,sync,1,read,256,zram-lzo,1,none,none,50,256,12480834859,11.6 GB,0,0.0 B,1216525.948511,1.2 ms,0.0,0.0 ns,0.724324,2.05514,0.0418919,97.1797,2.82027,33554432.0,33568072.0,32768.0,32781.0,32.0,32.0,389.412,431.12,3.36842,7.37724,44.2439
78,64K,sync,1,read,256,zram-zstd,1,none,none,50,256,12956160772,12.1 GB,0,0.0 B,1202316.420271,1.2 ms,0.0,0.0 ns,0.234809,0.755277,0.0174894,98.9906,1.00936,33554432.0,33567944.0,32768.0,32781.0,32.0,32.0,103.606,138.313,0.810127,2.70899,82.306
79,64K,sync,1,read,256,zram-lz4,1,none,none,50,256,12744710077,11.9 GB,0,0.0 B,1152985.442657,1.2 ms,0.0,0.0 ns,0.799726,1.71014,0.0279452,97.4638,2.53616,33554432.0,33568128.0,32768.0,32781.0,32.0,32.0,381.252,437.089,3.41333,6.5572,44.0189
80,64K,sync,1,read,32,ssd-raid,1,none,none,50,256,16086019835,15.0 GB,0,0.0 B,128958.47187,129.0 µs,0.0,0.0 ns,1.32238,0.462619,0.158333,98.0564,1.94357,33554492.0,33559816.0,32768.0,32773.0,32.0,32.0,508.5,744.864,4.44,1.81091,28.2048
81,64K,sync,1,read,32,zram-lzo,1,none,none,50,256,14848633694,13.8 GB,0,0.0 B,139010.134314,139.0 µs,0.0,0.0 ns,0.723514,0.638649,0.0241892,98.6142,1.38581,33554432.0,33560332.0,32768.0,32773.0,32.0,32.0,430.118,432.99,3.36842,1.33132,43.9579
82,64K,sync,1,read,32,zram-zstd,1,none,none,50,256,14945514731,13.9 GB,0,0.0 B,139287.087896,139.3 µs,0.0,0.0 ns,0.250256,0.440598,0.0171368,99.2905,0.709487,33554432.0,33560852.0,32768.0,32774.0,32.0,32.0,92.223,138.863,0.813559,1.01,82.0916
83,64K,sync,1,read,32,zram-lz4,1,none,none,50,256,14803851084,13.8 GB,0,0.0 B,140738.383053,140.7 µs,0.0,0.0 ns,0.726986,0.589589,0.0309589,98.6534,1.34658,33554432.0,33560384.0,32768.0,32773.0,32.0,32.0,377.681,436.986,2.56,1.2192,43.3761
84,64K,sync,1,read,4,ssd-raid,1,none,none,50,256,2885917887,2.7 GB,0,0.0 B,86342.273428,86.3 µs,0.0,0.0 ns,1.03692,0.406346,0.285192,98.2713,1.72865,33554500.0,33558928.0,32768.0,32772.0,32.0,32.0,593.955,606.909,14.6541,1.38352,41.3076
85,64K,sync,1,read,4,zram-lzo,1,none,none,50,256,8355967501,7.8 GB,0,0.0 B,29499.502716,29.5 µs,0.0,0.0 ns,0.713803,0.493662,0.0485915,98.7423,1.25775,33554432.0,33558800.0,32768.0,32772.0,32.0,32.0,448.877,448.936,5.26014,0.595068,45.3699
